,log2FoldChange,AveExpr,t,pvalue,padj,B
ITFG1,-0.02596391,5.697537182,-0.163785258,0.871840141,9.39E-01,-6.62E+00
DNAJB11,-0.03449926,5.392826124,-0.163990194,0.871681295,9.39E-01,-6.61E+00
ZRANB2,-0.029830167,6.313247848,-0.164005312,0.871669577,9.39E-01,-6.60E+00
TTC36,-0.066168302,0.284697287,-0.164021237,0.871657234,0.939075172,-5.691288584
CYB5R3,-0.033624524,6.645020796,-0.164220362,0.871502899,0.939046013,-6.582944543
ACSL3,-0.027260942,6.727953928,-0.164697871,0.871132819,0.938810268,-6.577345219
SERF2,-0.028168416,7.417857696,-0.164794376,0.871058029,0.938784014,-6.524291977
KAT2A,-0.038371244,4.474497918,-0.165429066,0.870566188,0.938416917,-6.534196266
RAC1,-0.021536822,6.562513196,-0.16564268,0.870400663,0.938292822,-6.587898245
VWA1,-0.037140775,5.693365777,-0.165673212,0.870377005,0.938292822,-6.615026911
ZZZ3,-0.032404655,5.864634534,-0.165873315,0.870221956,9.38E-01,-6.61E+00
RPL21,-0.041513058,8.383701409,-0.166041423,0.870091703,9.38E-01,-6.44E+00
ACTG1P1,-0.064460672,-0.069295233,-0.166255321,0.869925977,0.938270103,-5.626623153
SNX6,-0.031380705,6.00107772,-0.166484823,0.869748167,0.938232173,-6.611777971
RPL36A,-0.04859451,7.378373727,-0.16690797,0.869420348,9.38E-01,-6.53E+00
UBA3,-0.036624802,5.299826579,-0.166973619,0.86936949,9.38E-01,-6.61E+00
HEMK1,-0.029397059,5.26131194,-0.16726049,0.869147263,9.38E-01,-6.60E+00
SLC5A3,-0.049112821,6.388734926,-0.167316747,0.869103684,0.937865116,-6.597264369
FOXJ3,-0.020772697,5.883282466,-0.167336639,0.869088275,0.937865116,-6.613791561
SGO1,-0.049142578,1.7595593,-0.167427424,0.869017951,9.38E-01,-5.98E+00
HIST1H3D,-0.088680295,1.668487185,-0.167562126,0.86891361,0.937865116,-5.965763746
TMA16,-0.041421557,3.611907095,-0.167655482,0.868841297,9.38E-01,-6.38E+00
RP11-382D8.5,-0.072387196,0.647648637,-0.167722407,0.868789458,0.937865116,-5.759971711
