"","X","log2FoldChange","AveExpr","t","pvalue","padj","B"
"222","PPIG",3.478211667,3.570891085,3.098400936,0.013005696,0.267892046,-2.641139359
"223","PXDC1",3.135903428,4.878958689,3.096726995,0.013040575,0.267937419,-2.677903372
"224","DDX39A",2.90939724,4.990382849,3.091683623,0.013146247,0.269476867,-2.690354913
"225","PRKY",3.958803918,3.000443375,3.088324622,0.013217118,0.270047877,-2.651562887
"226","PPP1R16B",3.995883908,3.027425932,3.086880392,0.013247711,0.270047877,-2.653663558
"227","ATRX",3.961471455,3.00091601,3.086409954,0.013257692,0.270047877,-2.654179556
"228","FAM118A",4.140706487,3.074424148,3.084927168,0.013289202,0.270047877,-2.656574143
"229","CHFR",3.945649803,2.997454707,3.084088293,0.013307063,0.270047877,-2.657333727
"230","GNL2",3.115742454,4.634967334,3.083080002,0.013328564,0.270047877,-2.686437337
"231","RNMT",4.340042885,3.161908192,3.08235285,0.013344092,0.270047877,-2.660570351
"232","HEXA",3.041744208,4.354366552,3.08005169,0.013393356,0.270613931,-2.679992393
"233","AMFR",3.161982372,4.054183439,3.078668456,0.013423059,0.270783586,-2.674018769
"234","SPRYD3",3.296027098,3.866877858,3.076107691,0.013478228,0.271425834,-2.674558666
"235","COL12A1",3.477050713,3.935213323,3.071835638,0.013570787,0.271425834,-2.681482332
"236","RPS6KA2",2.747423926,5.673179946,3.0700426,0.01360983,0.271425834,-2.738571535
"237","STAT5A",2.936772018,5.655110582,3.067281971,0.01367017,0.271425834,-2.742516993
"238","CIRBP",3.014230436,6.752582679,3.061968205,0.013787093,0.271425834,-2.76411471
"239","HDAC7",2.895957425,4.746535463,3.061914092,0.013788289,0.271425834,-2.721792577
"240","RNF31",3.95290616,3.006466183,3.061708521,0.013792833,0.271425834,-2.6879698
"241","METTL3",3.926427037,2.985001382,3.059812888,0.013834812,0.271425834,-2.69044919
"242","CDK9",3.081061506,4.51809048,3.058931232,0.013854381,0.271425834,-2.715966328
"243","ROBO4",2.889147274,5.912050495,3.05382871,0.013968199,0.271946832,-2.762285323
"244","USP7",2.789997128,5.239613926,3.053790374,0.013969058,0.272,-2.76
"245","GALNT18",3.392552307,3.919146873,3.047330133,0.014114556,0.273056989,-2.715349926
"246","EIF2B4",3.241183788,3.8375096,3.046618522,0.014130678,0.273056989,-2.715196047
"247","SLC25A29",4.199466087,3.131717158,3.044714151,0.014173918,0.273056989,-2.71200141
"248","CCDC85B",5.024071177,4.788330079,3.044432941,0.014180314,0.273056989,-2.748941312
"249","CTCF",3.896414555,2.974727354,3.042773347,0.014218124,0.273145383,-2.713708687
"250","EXOSC7",3.905471611,2.975019533,3.041400519,0.01424948,0.273147274,-2.715589912
"251","CTR9",4.011030788,3.016443394,3.035854444,0.014376881,0.273473702,-2.723428759
"252","LETM1",3.908447304,2.975099653,3.035599107,0.014382775,0.273473702,-2.723534969
"253","NCAPH2",4.003601469,3.03501395,3.0349539,0.014397679,0.273473702,-2.724776635
"254","MEDAG",2.954438465,5.979686811,3.03354971,0.014430169,0.273473702,-2.792115135
"255","ATP6V0A1",3.102589354,4.369685929,3.03318355,0.014438654,0.273473702,-2.746797606
"256","GET4",3.397132791,3.530410703,3.03208238,0.014464202,0.273549908,-2.732402236
"257","KANK2",3.869644467,4.417571418,3.027809777,0.01456377,0.275023703,-2.756192564
"258","HMOX1",2.671941476,8.380738328,3.026235979,0.014600623,0.275310569,-2.889214059
"259","AIP",4.368164064,3.868601717,3.022088716,0.014698201,0.275656416,-2.749708766
